"","1","2","3","4","selection","Sample.ID","Cluster","Probability_selection"
"DI18R07p09.E04",1.64427897304383e-09,1.45272648798726e-23,0.999999998355721,7.00539124809718e-47,3,"S004-112","B",0.999999998355721
"DI18R07p09.E05",0.970763129100437,1.19059214601152e-14,0.0292368708995507,2.11700603821255e-19,1,"S010-3","A",0.970763129100437
"DI18R07p09.E06",2.25717650724899e-07,1.00836354690842e-09,0.999999773273986,3.5480043582807e-22,3,"S010-88","B",0.999999773273986
"DI18R07p09.E07",6.3119092503268e-32,0.999999999999944,5.61989583391044e-14,3.91230572863722e-29,2,"S009-182","C",0.999999999999944
"DI18R07p09.E08",9.44150078918774e-46,1.39023208701853e-30,3.34874122096002e-32,1,4,"S011-18","D",1
"DI18R07p09.E09",1.92356161701509e-24,0.999999999992771,7.22896986391661e-12,2.60054998193926e-22,2,"S010-146","C",0.999999999992771
"DI18R07p09.E10",0.997883186944793,6.35245799461608e-29,0.00211681305520644,4.18912324285794e-46,1,"S005-66","A",0.997883186944793
"DI18R07p09.E11",6.21610849805319e-47,1,3.8332985483614e-26,6.70595916256763e-17,2,"S006-184","C",1
"DI18R07p09.E12",0.000206617171534134,1.42686134090758e-08,0.999793368559852,1.09782499957533e-26,3,"S010-86","B",0.999793368559852
"DI18R07p09.F01",1.78496114763708e-12,0.966858792537006,0.0331412074612089,5.312281624584e-22,2,"S007-73","C",0.966858792537006
"DI18R07p09.F03",1.43261217477875e-05,2.81259457871201e-12,0.99998567387544,3.47778469863088e-36,3,"S005-105","B",0.99998567387544
"DI18R07p09.F04",7.46785097460004e-14,2.42709889940718e-07,0.999999757290035,4.63192008746088e-27,3,"S004-153","B",0.999999757290035
"DI18R07p09.F05",0.939012141133769,6.31073159379178e-14,0.0609878588661684,4.12204914739579e-26,1,"S010-57","A",0.939012141133769
"DI18R07p09.F06",0.990909346447453,7.34154522967365e-22,0.00909065355254695,1.03402164162936e-42,1,"S009-90","A",0.990909346447453
"DI18R07p09.F07",1.3754803953736e-17,0.00945222690723909,0.990547773045569,4.71917076752279e-11,3,"S006-78","B",0.990547773045569
"DI18R07p09.F08",0.999999999999464,3.50676366359323e-36,5.35658878641754e-13,1.46243950318931e-72,1,"S006-10","A",0.999999999999464
"DI18R07p09.F09",1.46614801027593e-49,2.67319630445196e-31,2.70841690741546e-34,1,4,"S011-13","D",1
"DI18R07p09.F10",1.12806591898173e-14,0.999999800622433,1.99377555414263e-07,1.12807367977023e-23,2,"S006-128","C",0.999999800622433
"DI18R07p09.F11",0.98850358189481,0.00033492640933903,0.0111614916958511,9.30002407053866e-29,1,"S003-128","A",0.98850358189481
"DI18R07p09.F12",6.35545598728806e-08,0.000234236770322777,0.999765699675109,8.87416394262616e-15,3,"S003-105","B",0.999765699675109
"DI18R07p09.G01",9.66675517102847e-23,0.99999999956433,4.35670327923265e-10,1.79930166573056e-19,2,"S003-195","C",0.99999999956433
"DI18R07p09.G02",0.99999868102724,6.37663581976609e-34,1.3189727601651e-06,2.46086533797113e-51,1,"S009-21","A",0.99999868102724
"DI18R07p09.G03",0.000871851923440791,6.53302720818050e-09,0.999128141543532,3.41915348736313e-21,3,"S003-60","B",0.999128141543532
"DI18R07p09.G04",7.87465098046885e-07,4.18652851074976e-16,0.999999212534902,6.43414645699375e-41,3,"S004-121","B",0.999999212534902
"DI18R07p09.G05",2.63846001733359e-06,2.66361855277584e-24,0.999997361539983,6.11391734931457e-47,3,"S004-107","B",0.999997361539983
"DI18R07p09.G06",0.992182831691835,5.88448788572798e-22,0.00781716830816471,6.22931095652295e-42,1,"S009-89","A",0.992182831691835
"DI18R07p09.G07",1.61185696956518e-48,7.9717681479331e-32,1.29104812155757e-31,1,4,"S011-38","D",1
"DI18R07p09.G08",9.91409489945689e-51,8.3251590718155e-32,1.99437935477389e-33,1,4,"S011-30","D",1
"DI18R07p09.G09",9.25529642354059e-12,3.84607366860245e-22,0.999999999990745,2.02952281491736e-36,3,"S004-117","B",0.999999999990745
"DI18R07p09.G10",1.5769411833714e-26,0.999999999962565,3.7434836505174e-11,3.32530799644767e-19,2,"S009-179","C",0.999999999962565
