"","superkingdom","family","genus","species","kingdom","VC","EukVirBin_noanello","EukVirBin","PhageBin","ContigBin","VC_Genus","Host","Host_specific","OTU","infection"
"NODE_101_length_1209_cov_7_814488_S005-44","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID89","SURE_ClusterID247","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_1209_cov_7_814488_S005-44","0"
"NODE_101_length_1356_cov_1_860829_S006-47","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID90","NOTSURE_ClusterID250","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_1356_cov_1_860829_S006-47","0"
"NODE_101_length_1849_cov_5_058126_S005-167","ROOT","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_1849_cov_5_058126_S005-167","0"
"NODE_101_length_1944_cov_5_874665_S006-186","Viruses","Siphoviridae","Skunavirus","Lactococcus phage 936 group phage PhiB1127","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID91","NOTSURE_ClusterID253","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_1944_cov_5_874665_S006-186","Lactococcus phage 936 group phage PhiB1127"
"NODE_101_length_2170_cov_6_646918_S009-100","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_2170_cov_6_646918_S009-100","0"
"NODE_101_length_2260_cov_3_801191_S009-201","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_2260_cov_3_801191_S009-201","0"
"NODE_101_length_2670_cov_3_533745_S007-131","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_2670_cov_3_533745_S007-131","0"
"NODE_101_length_2741_cov_17_655030_S007-99","0","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_2741_cov_17_655030_S007-99","0"
"NODE_101_length_2904_cov_3_945879_S010-137","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_2904_cov_3_945879_S010-137","0"
"NODE_101_length_2959_cov_9_098890_S007-86","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID92","NOTSURE_ClusterID261","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_2959_cov_9_098890_S007-86","0"
"NODE_101_length_3288_cov_4_392713_S003-192","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID93","NOTSURE_ClusterID264","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_3288_cov_4_392713_S003-192","0"
"NODE_101_length_3604_cov_6_366317_S009-159","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID94","SURE_ClusterID266","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_3604_cov_6_366317_S009-159","0"
"NODE_101_length_3921_cov_6_647503_S011-15","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID95","NOTSURE_ClusterID267","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_3921_cov_6_647503_S011-15","0"
"NODE_101_length_4114_cov_3_228883_S011-11","0","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID96","NOTSURE_ClusterID268","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_4114_cov_3_228883_S011-11","0"
"NODE_101_length_4233_cov_7_824110_S007-7","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID97","SURE_ClusterID269","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_4233_cov_7_824110_S007-7","0"
"NODE_101_length_793_cov_5_389665_S005-50","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_101_length_793_cov_5_389665_S005-50","0"
"NODE_10104_length_679_cov_15_254153_S010-136","Viruses","Siphoviridae","Skunavirus","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10104_length_679_cov_15_254153_S010-136","0"
"NODE_102_length_1385_cov_2_769878_S009-195","Viruses","Siphoviridae","Siphoviridae","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID98","Singleton_ClusterID380","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_102_length_1385_cov_2_769878_S009-195","0"
"NODE_102_length_16066_cov_20_464694_S010-3","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_102_length_16066_cov_20_464694_S010-3","0"
"NODE_102_length_2380_cov_4_148502_S009-89","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_102_length_2380_cov_4_148502_S009-89","0"
"NODE_102_length_2385_cov_5_382582_S007-50","Viruses","unclassified Viruses","unclassified Viruses","Prokaryotic dsDNA virus sp.","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID99","SURE_ClusterID386","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_102_length_2385_cov_5_382582_S007-50","Prokaryotic dsDNA virus sp."
"NODE_102_length_3269_cov_6_711153_S004-153","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_102_length_3269_cov_6_711153_S004-153","0"
"NODE_102_length_4107_cov_4_235236_S011-11","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID100","NOTSURE_ClusterID394","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_102_length_4107_cov_4_235236_S011-11","0"
"NODE_1021_length_739_cov_16_300604_S009-229","0","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1021_length_739_cov_16_300604_S009-229","0"
"NODE_1023_length_1115_cov_5_856455_S005-101","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1023_length_1115_cov_5_856455_S005-101","0"
"NODE_1029_length_1588_cov_3_137657_S011-93","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID101","SURE_ClusterID467","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1029_length_1588_cov_3_137657_S011-93","0"
